Kernel: NormalizedPolyKernel, exponent: 0,550000, result: 0,586918
Kernel: NormalizedPolyKernel, exponent: 0,560000, result: 0,595917
Kernel: NormalizedPolyKernel, exponent: 0,570000, result: 0,600496
Kernel: NormalizedPolyKernel, exponent: 0,580000, result: 0,591995
Kernel: NormalizedPolyKernel, exponent: 0,590000, result: 0,609632
Kernel: NormalizedPolyKernel, exponent: 0,600000, result: 0,599566
Kernel: NormalizedPolyKernel, exponent: 0,610000, result: 0,603346
Kernel: NormalizedPolyKernel, exponent: 0,620000, result: 0,605066
Kernel: NormalizedPolyKernel, exponent: 0,630000, result: 0,606107
Kernel: NormalizedPolyKernel, exponent: 0,640000, result: 0,604521
Kernel: NormalizedPolyKernel, exponent: 0,650000, result: 0,608242
Kernel: NormalizedPolyKernel, exponent: 0,660000, result: 0,608884
Kernel: NormalizedPolyKernel, exponent: 0,670000, result: 0,615328
Kernel: NormalizedPolyKernel, exponent: 0,680000, result: 0,616060
Kernel: NormalizedPolyKernel, exponent: 0,690000, result: 0,615474
Kernel: NormalizedPolyKernel, exponent: 0,700000, result: 0,618750
Kernel: NormalizedPolyKernel, exponent: 0,710000, result: 0,618599
Kernel: NormalizedPolyKernel, exponent: 0,720000, result: 0,619456
Kernel: NormalizedPolyKernel, exponent: 0,730000, result: 0,634860
Kernel: NormalizedPolyKernel, exponent: 0,740000, result: 0,632924
Kernel: NormalizedPolyKernel, exponent: 0,750000, result: 0,633955
Kernel: NormalizedPolyKernel, exponent: 0,760000, result: 0,636138
Kernel: NormalizedPolyKernel, exponent: 0,770000, result: 0,655969
Kernel: NormalizedPolyKernel, exponent: 0,780000, result: 0,650753
Kernel: NormalizedPolyKernel, exponent: 0,790000, result: 0,655654
Kernel: NormalizedPolyKernel, exponent: 0,800000, result: 0,660651
Kernel: NormalizedPolyKernel, exponent: 0,810000, result: 0,659427
Kernel: NormalizedPolyKernel, exponent: 0,820000, result: 0,664607
Kernel: NormalizedPolyKernel, exponent: 0,830000, result: 0,672871
Kernel: NormalizedPolyKernel, exponent: 0,840000, result: 0,682615
Kernel: NormalizedPolyKernel, exponent: 0,850000, result: 0,682176
Kernel: NormalizedPolyKernel, exponent: 0,860000, result: 0,685654
Kernel: NormalizedPolyKernel, exponent: 0,870000, result: 0,687099
Kernel: NormalizedPolyKernel, exponent: 0,880000, result: 0,693186
Kernel: NormalizedPolyKernel, exponent: 0,890000, result: 0,693138
Kernel: NormalizedPolyKernel, exponent: 0,900000, result: 0,696492
